2026-08-30 18:39:48 | INFO    | receipt_ai | starting pipeline run: 371 images from data\receipts
2026-08-30 18:39:49 | INFO    | receipt_ai | receipt=0 ocr_pass=raw store_status=medium date_status=missing total_status=missing items=2
2026-08-30 18:39:50 | INFO    | receipt_ai | receipt=1 ocr_pass=raw store_status=medium date_status=medium total_status=low items=15
2026-08-30 18:39:57 | INFO    | receipt_ai | receipt=10 ocr_pass=raw store_status=low date_status=missing total_status=low items=0
2026-08-30 18:39:58 | INFO    | receipt_ai | receipt=11 ocr_pass=raw store_status=low date_status=missing total_status=missing items=9
2026-08-30 18:39:59 | INFO    | receipt_ai | receipt=12 ocr_pass=raw store_status=medium date_status=medium total_status=low items=2
2026-08-30 18:40:04 | INFO    | receipt_ai | receipt=13 ocr_pass=raw store_status=low date_status=missing total_status=missing items=0
2026-08-30 18:40:27 | INFO    | receipt_ai | receipt=14 ocr_pass=raw store_status=missing date_status=missing total_status=missing items=0
2026-08-30 18:40:32 | INFO    | receipt_ai | receipt=15 ocr_pass=raw store_status=medium date_status=medium total_status=low items=0
2026-08-30 18:40:33 | INFO    | receipt_ai | receipt=16 ocr_pass=raw store_status=medium date_status=medium total_status=low items=4
2026-08-30 18:40:35 | INFO    | receipt_ai | receipt=17 ocr_pass=raw store_status=medium date_status=medium total_status=low items=12
2026-08-30 18:40:42 | INFO    | receipt_ai | receipt=18 ocr_pass=raw store_status=low date_status=medium total_status=low items=0
2026-08-30 18:40:48 | INFO    | receipt_ai | receipt=19 ocr_pass=raw store_status=low date_status=medium total_status=low items=0
2026-08-30 18:40:50 | INFO    | receipt_ai | receipt=2 ocr_pass=raw store_status=medium date_status=medium total_status=low items=0
2026-08-30 18:40:51 | INFO    | receipt_ai | receipt=20 ocr_pass=raw store_status=low date_status=medium total_status=ambiguous items=16
2026-08-30 18:40:52 | INFO    | receipt_ai | receipt=21 ocr_pass=raw store_status=medium date_status=medium total_status=missing items=1
2026-08-30 18:40:54 | INFO    | receipt_ai | receipt=3 ocr_pass=raw store_status=high date_status=medium total_status=low items=13
2026-08-30 18:40:55 | INFO    | receipt_ai | receipt=4 ocr_pass=raw store_status=low date_status=ambiguous total_status=ambiguous items=1
2026-08-30 18:40:58 | INFO    | receipt_ai | receipt=5 ocr_pass=raw store_status=low date_status=medium total_status=missing items=2
2026-08-30 18:40:59 | INFO    | receipt_ai | receipt=6 ocr_pass=raw store_status=medium date_status=medium total_status=missing items=0
2026-08-30 18:41:01 | INFO    | receipt_ai | receipt=7 ocr_pass=raw store_status=medium date_status=medium total_status=low items=4
2026-08-30 18:41:05 | INFO    | receipt_ai | receipt=8 ocr_pass=clahe_deskew store_status=medium date_status=missing total_status=low items=1
2026-08-30 18:41:07 | INFO    | receipt_ai | receipt=9 ocr_pass=raw store_status=medium date_status=missing total_status=low items=1
2026-08-30 18:41:08 | INFO    | receipt_ai | receipt=X00016469612 ocr_pass=raw store_status=high date_status=high total_status=ambiguous items=1
2026-08-30 18:41:09 | INFO    | receipt_ai | receipt=X00016469619 ocr_pass=raw store_status=high date_status=medium total_status=low items=2
2026-08-30 18:41:10 | INFO    | receipt_ai | receipt=X00016469620 ocr_pass=raw store_status=high date_status=ambiguous total_status=medium items=4
2026-08-30 18:41:11 | INFO    | receipt_ai | receipt=X00016469622 ocr_pass=raw store_status=high date_status=high total_status=medium items=0
2026-08-30 18:41:12 | INFO    | receipt_ai | receipt=X00016469623 ocr_pass=raw store_status=high date_status=medium total_status=low items=3
2026-08-30 18:41:14 | INFO    | receipt_ai | receipt=X00016469669 ocr_pass=raw store_status=high date_status=ambiguous total_status=low items=1
2026-08-30 18:41:15 | INFO    | receipt_ai | receipt=X00016469670 ocr_pass=raw store_status=high date_status=high total_status=low items=0
2026-08-30 18:41:16 | INFO    | receipt_ai | receipt=X00016469671 ocr_pass=raw store_status=high date_status=ambiguous total_status=high items=1
